epoch,strategy,full20_canonical_match,full40_canonical_match,delta_full40_minus_full20
6,light_denoise,0.3626943005181347,0.3626943005181347,0.0
6,direction_flip,0.29533678756476683,0.2910189982728843,-0.0043177892918825345
6,rdkit_random_smiles,0.29015544041450775,0.2979274611398964,0.007772020725388629
7,identity,0.7046632124352331,0.7193436960276338,0.014680483592400706
7,attachment_rooted_smiles,0.5,0.4939550949913644,-0.0060449050086355816
7,light_denoise,0.35664939550949915,0.3687392055267703,0.012089810017271163
7,direction_flip,0.3065630397236615,0.3005181347150259,-0.0060449050086355816
7,rdkit_random_smiles,0.28411053540587217,0.2849740932642487,0.0008635578583765513
8,identity,0.7184801381692574,0.6925734024179621,-0.025906735751295318
8,attachment_rooted_smiles,0.5146804835924007,0.5189982728842832,0.0043177892918825345
8,light_denoise,0.3799654576856649,0.3955094991364421,0.015544041450777202
8,direction_flip,0.33419689119170987,0.3385146804835924,0.0043177892918825345
8,rdkit_random_smiles,0.31088082901554404,0.29360967184801384,-0.017271157167530193
9,identity,0.7029360967184801,0.7115716753022453,0.00863557858376518
9,attachment_rooted_smiles,0.5155440414507773,0.533678756476684,0.01813471502590669
9,light_denoise,0.34024179620034545,0.3791018998272884,0.03886010362694298
9,direction_flip,0.33592400690846286,0.3454231433506045,0.00949913644214162
9,rdkit_random_smiles,0.3221070811744387,0.32556131260794474,0.0034542314335060387
10,identity,0.7271157167530224,0.7245250431778929,-0.002590673575129543
10,attachment_rooted_smiles,0.5500863557858376,0.5397236614853195,-0.010362694300518172
10,light_denoise,0.40500863557858374,0.39810017271157166,-0.006908462867012077
10,direction_flip,0.35233160621761656,0.33678756476683935,-0.015544041450777202
10,rdkit_random_smiles,0.34196891191709844,0.32728842832469773,-0.014680483592400706
11,identity,0.7236614853195165,0.7340241796200345,0.01036269430051806
11,attachment_rooted_smiles,0.542314335060449,0.5544041450777202,0.012089810017271163
11,light_denoise,0.38255613126079446,0.42573402417962003,0.04317789291882557
11,direction_flip,0.35578583765112265,0.35751295336787564,0.0017271157167529916
11,rdkit_random_smiles,0.34628670120898103,0.3626943005181347,0.016407599309153698
12,identity,0.7348877374784111,0.7236614853195165,-0.011226252158894612
12,attachment_rooted_smiles,0.5578583765112263,0.5604490500863558,0.002590673575129543
12,light_denoise,0.4058721934369603,0.4162348877374784,0.010362694300518116
12,direction_flip,0.3592400690846287,0.3471502590673575,-0.012089810017271163
12,rdkit_random_smiles,0.3609671848013817,0.3644214162348877,0.0034542314335060387
13,identity,0.7366148531951641,0.7081174438687392,-0.02849740932642486
13,attachment_rooted_smiles,0.5604490500863558,0.5500863557858376,-0.010362694300518172
13,light_denoise,0.40932642487046633,0.38860103626943004,-0.020725388601036288
13,direction_flip,0.35837651122625214,0.37132987910189985,0.012953367875647714
13,rdkit_random_smiles,0.35233160621761656,0.3531951640759931,0.0008635578583765513
14,identity,0.731433506044905,0.7107081174438687,-0.020725388601036232
14,attachment_rooted_smiles,0.5794473229706391,0.5682210708117443,-0.011226252158894723
14,light_denoise,0.422279792746114,0.41364421416234887,-0.008635578583765124
14,direction_flip,0.3842832469775475,0.3791018998272884,-0.005181347150259086
14,rdkit_random_smiles,0.3842832469775475,0.3687392055267703,-0.015544041450777202
15,identity,0.7331606217616581,0.7176165803108808,-0.015544041450777257
15,attachment_rooted_smiles,0.5785837651122625,0.5492227979274611,-0.029360967184801412
15,light_denoise,0.4162348877374784,0.41450777202072536,-0.001727115716753047
15,direction_flip,0.38341968911917096,0.37132987910189985,-0.012089810017271108
15,rdkit_random_smiles,0.35664939550949915,0.35146804835924006,-0.005181347150259086
16,identity,0.7184801381692574,0.7227979274611399,0.0043177892918825345
16,attachment_rooted_smiles,0.5803108808290155,0.581174438687392,0.0008635578583765513
16,light_denoise,0.38255613126079446,0.43436960276338515,0.05181347150259069
16,direction_flip,0.37737478411053543,0.38687392055267705,0.00949913644214162
16,rdkit_random_smiles,0.37132987910189985,0.38341968911917096,0.012089810017271108
17,identity,0.7202072538860104,0.7253886010362695,0.005181347150259086
17,attachment_rooted_smiles,0.5587219343696027,0.572538860103627,0.013816925734024266
17,light_denoise,0.422279792746114,0.43350604490500866,0.011226252158894667
17,direction_flip,0.39378238341968913,0.4162348877374784,0.02245250431778928
17,rdkit_random_smiles,0.36614853195164077,0.3946459412780656,0.02849740932642486
