run,epoch,strategy,sample_count,failed_count,canonical_match,exact_string_match,rdkit_validity,two_attachment_validity
Full 20 epoch,4,direction_flip,1158,850,0.2659758203799655,0.25906735751295334,0.5328151986183074,0.5267702936096719
Full 20 epoch,4,rdkit_random_smiles,1158,882,0.23834196891191708,0.23402417962003455,0.5233160621761658,0.5138169257340242
Full 20 epoch,5,identity,1158,372,0.6787564766839378,0.6778929188255614,0.7953367875647669,0.7936096718480138
Full 20 epoch,5,attachment_rooted_smiles,1158,617,0.46718480138169255,0.46545768566493956,0.6735751295336787,0.6701208981001727
Full 20 epoch,5,light_denoise,1158,793,0.31519861830742657,0.3143350604490501,0.6278065630397237,0.6234887737478411
Full 20 epoch,5,direction_flip,1158,828,0.2849740932642487,0.2772020725388601,0.5518134715025906,0.5440414507772021
Full 20 epoch,5,rdkit_random_smiles,1158,846,0.2694300518134715,0.2616580310880829,0.5509499136442142,0.5431778929188256
Full 20 epoch,6,identity,1158,346,0.7012089810017271,0.6994818652849741,0.8186528497409327,0.8160621761658031
Full 20 epoch,6,attachment_rooted_smiles,1158,594,0.48704663212435234,0.48618307426597585,0.6778929188255614,0.6744386873920553
Full 20 epoch,6,light_denoise,1158,738,0.3626943005181347,0.3626943005181347,0.6649395509499136,0.6632124352331606
Full 20 epoch,6,direction_flip,1158,816,0.29533678756476683,0.2867012089810017,0.5604490500863558,0.5578583765112263
Full 20 epoch,6,rdkit_random_smiles,1158,822,0.29015544041450775,0.2849740932642487,0.5639032815198618,0.5569948186528497
Full 20 epoch,7,identity,1158,342,0.7046632124352331,0.7037996545768567,0.8134715025906736,0.812607944732297
Full 20 epoch,7,attachment_rooted_smiles,1158,579,0.5,0.49654576856649396,0.694300518134715,0.689119170984456
Full 20 epoch,7,light_denoise,1158,745,0.35664939550949915,0.3549222797927461,0.653713298791019,0.6528497409326425
Full 20 epoch,7,direction_flip,1158,803,0.3065630397236615,0.30310880829015546,0.5863557858376511,0.582901554404145
Full 20 epoch,7,rdkit_random_smiles,1158,829,0.28411053540587217,0.2772020725388601,0.5906735751295337,0.5837651122625216
Full 20 epoch,8,identity,1158,326,0.7184801381692574,0.7176165803108808,0.8341968911917098,0.8307426597582038
Full 20 epoch,8,attachment_rooted_smiles,1158,562,0.5146804835924007,0.5112262521588946,0.7124352331606217,0.7089810017271158
Full 20 epoch,8,light_denoise,1158,718,0.3799654576856649,0.37823834196891193,0.6606217616580311,0.6580310880829016
Full 20 epoch,8,direction_flip,1158,771,0.33419689119170987,0.3281519861830743,0.6027633851468048,0.5932642487046632
Full 20 epoch,8,rdkit_random_smiles,1158,798,0.31088082901554404,0.30397236614853196,0.6036269430051814,0.5949913644214162
Full 20 epoch,9,identity,1158,344,0.7029360967184801,0.7020725388601037,0.8203799654576857,0.8186528497409327
Full 20 epoch,9,attachment_rooted_smiles,1158,561,0.5155440414507773,0.5112262521588946,0.7115716753022453,0.7063903281519862
Full 20 epoch,9,light_denoise,1158,764,0.34024179620034545,0.3393782383419689,0.6545768566493955,0.6545768566493955
Full 20 epoch,9,direction_flip,1158,769,0.33592400690846286,0.3324697754749568,0.6200345423143351,0.6113989637305699
Full 20 epoch,9,rdkit_random_smiles,1158,785,0.3221070811744387,0.32037996545768566,0.6208981001727115,0.616580310880829
Full 20 epoch,10,identity,1158,316,0.7271157167530224,0.7262521588946459,0.8411053540587219,0.8376511226252159
Full 20 epoch,10,attachment_rooted_smiles,1158,521,0.5500863557858376,0.5492227979274611,0.7435233160621761,0.7374784110535406
Full 20 epoch,10,light_denoise,1158,689,0.40500863557858374,0.40414507772020725,0.687392055267703,0.6830742659758203
Full 20 epoch,10,direction_flip,1158,750,0.35233160621761656,0.35060449050086356,0.646804835924007,0.6390328151986183
Full 20 epoch,10,rdkit_random_smiles,1158,762,0.34196891191709844,0.34024179620034545,0.6252158894645942,0.6226252158894646
Full 20 epoch,11,identity,1158,320,0.7236614853195165,0.7236614853195165,0.8402417962003454,0.8367875647668394
Full 20 epoch,11,attachment_rooted_smiles,1158,530,0.542314335060449,0.5379965457685665,0.7392055267702936,0.7348877374784111
Full 20 epoch,11,light_denoise,1158,715,0.38255613126079446,0.38082901554404147,0.6925734024179621,0.689119170984456
